-19447,60370.2
-19500,55176.3
-12903.1,70109.9
-19783.4,57971.8
-18487.5,66647
-17547.4,61903.9
-16161.7,62266.8
-18708.3,62893.9
-17244,57005.9
-16750,58077.7
-16384.3,61409
-18497,59443.6
-18690.6,62433.8
-12664.9,64291.7
-13065.6,68894.6
-20432.3,59048.1
-11129.8,59580.7
-24208.1,59129.2
-16532.7,56896.6
-19732.3,56675.4
-16307.2,56958.6
-15794.3,65041.2
-17231.8,64539
-20937.8,60180.4
-19880.5,57522.4
-19746.1,57868.1
-17587,55736.8
-19817.9,57942
-22582.4,60680.6
-17389.2,58364.9
-19514.8,55859.5
-16634.5,57191
-17620.5,58285.1
-15757.2,61903.4
-17639.3,56349.9
-21544.6,56728
-19502.5,55621.7
-21906.4,57499.3
-15432.1,55029.2
-19496.5,54064.7
-20455.4,54641.3
-14631,57436.6
-14165.8,51286.7
-18857,54784.9
-17556.3,54264.1
-21848.6,54520.8
-18506.2,57408.4
-13096.2,53847.1
-17884.1,52712.2
-22778.9,51280.2
-16642.2,58454.3
-15367.9,55196.7
-23290.5,52042.9
-18190.9,54070.6
-11698.5,54483.4
-17048.2,47082.9
-18642.7,52805.2
-17145.9,49039.9
-15038.9,48595.5
-17242.2,50696.5
-14984.4,50192.2
-16967.3,52003.2
-18509.1,48993.3
-14009.1,55484.5
-17650,49954.2
-16434.2,52974.3
-13545.4,51690.5
-17222,55172.2
-19078.4,57401.5
-20175.7,51149.6
-20558.4,55427.8
-20173.5,52802.2
-21141,49916.5
-15141.3,43551.3
-16565.1,47884.9
-14913.8,50580.5
-12009.9,53065.1
-20162.6,46829.4
-16084.9,48124.4
-14427.2,50596.7
-18316.4,51310.4
-13163.1,48999.3
-15686.2,52413.8
-12590.4,47572.5
-18132,51459.6
-14375.5,50908.1
-7202.52,48396.7
-18694.2,59080.8
-9417.94,46011.9
-16167,46077.5
-20356,43733
-19766.6,47509
-14812.8,47392
-16430.5,48934.9
-13881.2,49168.6
-26172.2,45031.3
-15462.9,49337.7
-18879.8,42741.8
-5474.58,49314.5
-15757.5,54161.4
-19221.5,47147.4
-17812.8,48027.5
-13261.9,44133
-19966,47528
-16299.5,53548.6
-19396.6,45699.9
-18181.4,51326.3
-18666.5,50264.4
-17938.9,44644.9
-21053,47284.4
-16745.7,42230.3
-12825.3,42501
-11135.4,48089
-18566.9,48398
-14457.2,46763.7
-15524.7,44162.2
-12939.4,48836.8
-15042.1,42992.4
-17659,41391.5
-8720.59,46819
-17615.4,48009.2
-20521,51462.7
-19847.9,45457
-10414.4,45218.1
-23092.2,46005.5
-19740,39997.4
-15842.3,47274.3
-25128.8,39389.3
-23164.8,41705
-23209.4,43360
-16561.5,47058.3
-12969.7,44839.6
-18269.4,45042.4
-13914.7,43981.2
-11002.7,42764.1
-19629.9,46684.7
-10940.4,37811.2
-6433.43,31374.8
-12338.2,42780.1
-13402.4,38799
-14896.5,41096.8
-18266.5,38036.2
-11443.3,49471.1
-11405.9,31626
-22393.2,54210.7
-17833.7,42915.9
-14380.5,40459.6
